Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,128_C/127_N,128_C/127_N Count,128_C/127_N Variability [%],128_N/126,128_N/126 Count,128_N/126 Variability [%],129_N/127_C,129_N/127_C Count,129_N/127_C Variability [%],"Score A(4,11)","Coverage A(4,11)","# Peptides A(4,11)","# PSM A(4,11)","Score A(7,9,12,14)","Coverage A(7,9,12,14)","# Peptides A(7,9,12,14)","# PSM A(7,9,12,14)","Score B(3,6,11,13,17,18)","Coverage B(3,6,11,13,17,18)","# Peptides B(3,6,11,13,17,18)","# PSM B(3,6,11,13,17,18)","Score B(8,10,15)","Coverage B(8,10,15)","# Peptides B(8,10,15)","# PSM B(8,10,15)",# AAs,MW [kDa],calc. pI
Q11206,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4 OS=Homo sapiens GN=ST3GAL4 PE=2 SV=1 - [SIA4C_HUMAN]",28.83,1,7,8,16,1.151,-;7,,1.028,-;7,,1.116,-;7,,0.00 ,1.80,1,1,3.02 ,1.80,1,1,20.77 ,27.03,7,7,138.29 ,26.43,7,7,333,38.0,9.41
Q9NYV4,Cyclin-dependent kinase 12 OS=Homo sapiens GN=CDK12 PE=1 SV=2 - [CDK12_HUMAN],31.81,6,29,34,94,1.151,1;36,4.8,1.143,1;36,2.0,1.286,1;36,11.0,75.51 ,4.23,5,6,20.18 ,4.23,5,6,114.18 ,29.06,30,41,577.24 ,28.26,31,41,1490,164.1,9.44
Q9UPQ8,Dolichol kinase OS=Homo sapiens GN=DOLK PE=1 SV=1 - [DOLK_HUMAN],2.04,1,1,1,1,1.151,-;1,,1.254,-;1,,1.170,-;1,,,,,,,,,,2.43 ,2.04,1,1,,,,,538,59.2,8.60
Q01780,Exosome component 10 OS=Homo sapiens GN=EXOSC10 PE=1 SV=2 - [EXOSX_HUMAN],54.01,1,42,42,175,1.150,15;63,7.1,1.181,15;63,3.6,1.198,15;63,3.8,420.57 ,22.49,21,24,106.02 ,26.10,26,29,200.23 ,51.30,44,66,646.66 ,49.15,36,56,885,100.8,8.46
P02679,Fibrinogen gamma chain OS=Homo sapiens GN=FGG PE=1 SV=3 - [FIBG_HUMAN],1.99,1,1,1,2,1.150,-;1,,0.739,-;1,,0.862,-;1,,,,,,,,,,1.89 ,1.99,1,1,0.00 ,1.99,1,1,453,51.5,5.62
O00584,Ribonuclease T2 OS=Homo sapiens GN=RNASET2 PE=1 SV=2 - [RNT2_HUMAN],38.67,1,7,8,43,1.150,1;16,12.9,1.014,1;16,2.8,1.144,1;16,6.4,60.90 ,15.23,4,4,10.57 ,13.28,3,3,46.67 ,36.72,8,18,212.45 ,36.72,7,18,256,29.5,7.08
O00203,AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3 - [AP3B1_HUMAN],44.33,2,43,43,195,1.150,15;73,8.1,1.259,15;73,10.0,1.200,15;73,6.0,312.94 ,13.80,23,25,93.08 ,13.80,24,27,195.73 ,43.60,47,72,1083.40 ,43.05,42,71,1094,121.2,6.04
P11216,"Glycogen phosphorylase, brain form OS=Homo sapiens GN=PYGB PE=1 SV=5 - [PYGB_HUMAN]",59.79,1,43,50,308,1.150,32;89,5.4,1.205,30;89,6.1,1.172,33;89,7.9,915.38 ,38.32,43,56,213.59 ,35.35,43,60,289.21 ,55.04,56,98,1508.93 ,54.80,50,94,843,96.6,6.86
Q9H269,Vacuolar protein sorting-associated protein 16 homolog OS=Homo sapiens GN=VPS16 PE=1 SV=2 - [VPS16_HUMAN],44.46,1,23,23,82,1.150,2;33,11.2,1.145,2;33,2.7,1.082,2;32,0.8,102.69 ,5.13,3,3,12.68 ,2.98,3,3,100.45 ,43.62,23,39,610.71 ,44.46,24,37,839,94.6,6.77
P04049,RAF proto-oncogene serine/threonine-protein kinase OS=Homo sapiens GN=RAF1 PE=1 SV=1 - [RAF1_HUMAN],37.04,1,11,16,39,1.150,-;11,,1.172,-;11,,1.186,-;11,,37.40 ,4.94,1,1,2.91 ,4.94,1,1,42.44 ,29.17,13,18,189.67 ,32.10,15,19,648,73.0,9.20
Q9HAU5,Regulator of nonsense transcripts 2 OS=Homo sapiens GN=UPF2 PE=1 SV=1 - [RENT2_HUMAN],24.37,1,25,25,80,1.150,2;34,8.5,1.244,3;34,29.5,1.046,2;34,0.6,104.82 ,3.85,3,3,19.26 ,3.85,5,5,99.10 ,23.66,25,35,527.97 ,23.66,24,37,1272,147.7,5.69
Q8TCX5,Rhophilin-1 OS=Homo sapiens GN=RHPN1 PE=2 SV=1 - [RHPN1_HUMAN],2.16,1,1,2,3,1.150,-;1,,1.261,-;1,,1.258,-;1,,,,,,,,,,2.96 ,1.29,1,1,40.25 ,2.16,2,2,695,76.2,7.77
P10155,60 kDa SS-A/Ro ribonucleoprotein OS=Homo sapiens GN=TROVE2 PE=1 SV=2 - [RO60_HUMAN],42.01,1,20,20,132,1.150,13;43,3.3,1.103,13;43,2.9,1.094,13;43,5.5,393.49 ,29.00,23,25,88.54 ,29.00,21,23,122.70 ,38.10,19,42,703.69 ,36.43,15,42,538,60.6,8.03
Q5JPB2,Zinc finger protein 831 OS=Homo sapiens GN=ZNF831 PE=2 SV=4 - [ZN831_HUMAN],0.36,1,1,1,1,1.150,1;-,,1.115,1;-,,1.158,1;-,,37.33 ,0.36,1,1,,,,,,,,,,,,,1677,177.8,8.34
O43791,Speckle-type POZ protein OS=Homo sapiens GN=SPOP PE=1 SV=1 - [SPOP_HUMAN],10.16,1,3,3,6,1.150,-;3,,0.811,-;3,,0.825,-;3,,,,,,,,,,8.48 ,10.16,3,3,58.18 ,10.16,3,3,374,42.1,5.80
Q9NS86,LanC-like protein 2 OS=Homo sapiens GN=LANCL2 PE=1 SV=1 - [LANC2_HUMAN],18.67,1,7,7,25,1.150,4;8,3.4,1.317,4;8,4.0,1.251,4;8,1.4,51.67 ,10.22,4,4,17.40 ,8.89,5,5,26.43 ,17.33,6,8,101.29 ,17.33,6,8,450,50.8,7.43
Q8IZP0,Abl interactor 1 OS=Homo sapiens GN=ABI1 PE=1 SV=4 - [ABI1_HUMAN],31.50,1,9,13,71,1.149,4;19,5.5,1.255,6;19,9.8,1.251,6;19,12.0,127.26 ,19.29,9,11,49.02 ,18.11,10,13,53.77 ,27.17,12,26,154.93 ,27.17,12,21,508,55.0,7.06
Q14186,Transcription factor Dp-1 OS=Homo sapiens GN=TFDP1 PE=1 SV=1 - [TFDP1_HUMAN],23.17,1,5,6,11,1.149,-;4,,1.016,-;4,,1.125,-;4,,42.96 ,8.05,1,1,4.58 ,8.05,1,1,11.57 ,18.54,4,4,110.15 ,23.17,5,5,410,45.0,6.05
Q13470,Non-receptor tyrosine-protein kinase TNK1 OS=Homo sapiens GN=TNK1 PE=1 SV=3 - [TNK1_HUMAN],5.41,1,3,3,7,1.149,-;4,,1.002,-;4,,0.977,-;4,,,,,,,,,,9.23 ,5.41,3,4,39.61 ,5.41,3,3,666,72.4,9.48
A6NCE7,Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens GN=MAP1LC3B2 PE=2 SV=1 - [MP3B2_HUMAN],16.80,3,2,2,11,1.149,-;6,,1.200,-;6,,1.331,-;6,,,,,,,,,,11.60 ,16.80,3,6,66.39 ,16.80,3,5,125,14.6,8.68
A1A5B4,Anoctamin-9 OS=Homo sapiens GN=ANO9 PE=2 SV=2 - [ANO9_HUMAN],2.30,1,1,1,2,1.149,-;1,,1.114,-;1,,0.908,-;1,,,,,,,,,,0.00 ,2.30,1,1,45.77 ,2.30,1,1,782,90.3,8.16
O14733,Dual specificity mitogen-activated protein kinase kinase 7 OS=Homo sapiens GN=MAP2K7 PE=1 SV=2 - [MP2K7_HUMAN],40.81,1,13,14,33,1.149,1;14,8.5,1.419,2;14,21.9,1.319,2;14,13.7,87.24 ,8.11,2,2,11.49 ,8.11,2,2,40.30 ,39.38,14,15,182.72 ,38.66,13,14,419,47.5,9.16
Q68CQ7,Glycosyltransferase 8 domain-containing protein 1 OS=Homo sapiens GN=GLT8D1 PE=1 SV=2 - [GL8D1_HUMAN],35.58,1,8,8,15,1.149,-;7,,1.137,-;7,,1.229,-;7,,,,,,,,,,24.38 ,35.58,9,9,110.18 ,28.30,6,6,371,41.9,9.35
Q9NVQ4,Fas apoptotic inhibitory molecule 1 OS=Homo sapiens GN=FAIM PE=1 SV=1 - [FAIM1_HUMAN],41.90,1,6,6,12,1.149,-;6,,1.111,-;6,,1.080,-;6,,,,,,,,,,16.50 ,41.90,6,6,118.74 ,41.90,6,6,179,20.2,5.83
P62318,Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=1 SV=1 - [SMD3_HUMAN],40.48,1,3,3,153,1.149,5;54,5.4,0.974,5;52,1.3,1.001,5;57,6.5,286.07 ,40.48,5,8,42.27 ,40.48,5,9,174.68 ,40.48,4,65,849.36 ,40.48,4,71,126,13.9,10.32
Q8IU60,m7GpppN-mRNA hydrolase OS=Homo sapiens GN=DCP2 PE=1 SV=2 - [DCP2_HUMAN],9.52,1,3,3,8,1.149,-;4,,1.134,-;4,,1.153,-;4,,,,,,,,,,10.78 ,9.52,3,4,30.13 ,9.52,3,4,420,48.4,8.00
P22352,Glutathione peroxidase 3 OS=Homo sapiens GN=GPX3 PE=1 SV=2 - [GPX3_HUMAN],8.85,1,1,1,1,1.148,1;-,,1.048,1;-,,0.735,1;-,,,,,,0.00 ,8.85,1,1,,,,,,,,,226,25.5,8.13
Q00688,Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens GN=FKBP3 PE=1 SV=1 - [FKBP3_HUMAN],64.73,1,15,15,160,1.148,9;60,10.2,1.221,9;56,3.9,1.223,9;59,1.4,194.24 ,35.71,11,14,60.52 ,38.84,13,17,113.23 ,64.73,18,72,970.37 ,56.25,12,57,224,25.2,9.28
Q99719,Septin-5 OS=Homo sapiens GN=SEPT5 PE=1 SV=1 - [SEPT5_HUMAN],9.21,1,3,3,5,1.148,-;2,,0.902,-;2,,0.975,-;2,,,,,,,,,,9.07 ,9.21,3,3,23.22 ,8.13,2,2,369,42.7,6.67
Q96H72,Zinc transporter ZIP13 OS=Homo sapiens GN=SLC39A13 PE=1 SV=3 - [S39AD_HUMAN],14.02,1,2,2,6,1.148,1;1,5.6,1.019,1;1,6.7,0.923,1;1,18.3,67.89 ,3.50,1,1,8.60 ,3.50,2,2,7.79 ,14.02,2,2,49.94 ,3.50,1,1,371,39.0,5.31
Q96D96,Voltage-gated hydrogen channel 1 OS=Homo sapiens GN=HVCN1 PE=1 SV=1 - [HVCN1_HUMAN],5.49,1,1,1,4,1.148,-;2,,0.986,-;2,,1.018,-;2,,,,,,,,,,5.23 ,5.49,1,2,67.02 ,5.49,1,2,273,31.7,6.80
Q17RY0,Cytoplasmic polyadenylation element-binding protein 4 OS=Homo sapiens GN=CPEB4 PE=1 SV=1 - [CPEB4_HUMAN],23.18,3,12,12,31,1.148,1;15,28.5,0.952,-;15,,0.970,-;15,,,,,,0.00 ,3.70,1,1,45.09 ,23.18,12,15,133.77 ,23.18,12,15,729,80.1,7.18
P42694,Probable helicase with zinc finger domain OS=Homo sapiens GN=HELZ PE=1 SV=2 - [HELZ_HUMAN],18.69,1,23,23,63,1.148,1;25,19.3,1.181,1;25,17.3,1.105,1;25,13.6,43.29 ,0.77,1,1,5.55 ,0.77,1,1,88.06 ,18.69,23,32,371.77 ,16.74,21,29,1942,218.8,7.42
Q8IUQ4,E3 ubiquitin-protein ligase SIAH1 OS=Homo sapiens GN=SIAH1 PE=1 SV=2 - [SIAH1_HUMAN],9.57,1,2,2,4,1.148,-;2,,1.083,-;2,,1.054,-;2,,,,,,,,,,6.83 ,9.57,2,2,81.25 ,9.57,2,2,282,31.1,6.80
Q9Y605,MORF4 family-associated protein 1 OS=Homo sapiens GN=MRFAP1 PE=1 SV=1 - [MOFA1_HUMAN],70.87,2,5,5,22,1.148,2;8,8.6,1.044,2;8,1.7,1.202,2;8,4.0,52.23 ,14.17,2,2,12.51 ,14.17,4,4,20.03 ,64.57,4,8,214.10 ,64.57,4,8,127,14.6,4.70
Q9H1Z4,WD repeat-containing protein 13 OS=Homo sapiens GN=WDR13 PE=1 SV=2 - [WDR13_HUMAN],19.79,1,6,6,18,1.148,-;7,,1.189,-;7,,1.300,-;7,,,,,,,,,,19.32 ,19.79,7,9,61.45 ,17.32,5,9,485,53.7,9.14
Q9UKV5,E3 ubiquitin-protein ligase AMFR OS=Homo sapiens GN=AMFR PE=1 SV=2 - [AMFR_HUMAN],23.17,1,7,7,32,1.148,3;9,16.5,0.939,2;9,23.8,0.891,2;9,15.6,123.29 ,7.47,2,3,16.41 ,7.47,4,5,23.66 ,23.17,8,12,100.60 ,18.51,6,12,643,72.9,6.39
Q9NQG1,Protein MANBAL OS=Homo sapiens GN=MANBAL PE=1 SV=1 - [MANBL_HUMAN],9.41,1,1,1,6,1.148,1;1,7.1,1.168,1;1,11.5,1.220,1;1,2.0,36.31 ,9.41,2,2,6.35 ,9.41,2,2,1.78 ,9.41,1,1,36.72 ,9.41,1,1,85,9.5,9.16
A2RU67,Uncharacterized protein KIAA1467 OS=Homo sapiens GN=KIAA1467 PE=1 SV=1 - [K1467_HUMAN],14.47,1,5,5,13,1.147,-;5,,0.932,-;5,,1.050,-;5,,61.29 ,3.86,1,1,5.50 ,3.86,1,1,17.39 ,14.47,5,6,192.22 ,14.47,5,5,622,67.0,5.02
P59780,AP-3 complex subunit sigma-2 OS=Homo sapiens GN=AP3S2 PE=1 SV=1 - [AP3S2_HUMAN],25.91,1,4,4,7,1.147,-;2,,1.107,-;2,,1.083,-;2,,65.61 ,10.88,1,1,6.43 ,10.88,1,1,8.90 ,15.03,3,3,57.96 ,10.88,2,2,193,22.0,5.22
O60343,TBC1 domain family member 4 OS=Homo sapiens GN=TBC1D4 PE=1 SV=2 - [TBCD4_HUMAN],21.42,1,19,19,47,1.147,1;21,8.2,1.301,1;20,4.7,1.177,1;20,2.8,0.00 ,1.16,1,1,3.52 ,1.16,1,1,56.34 ,21.42,19,23,289.73 ,21.42,19,22,1298,146.5,7.01
Q9H799,Uncharacterized protein C5orf42 OS=Homo sapiens GN=C5orf42 PE=1 SV=4 - [CE042_HUMAN],3.28,1,4,4,5,1.147,-;3,,0.745,-;3,,0.969,-;3,,,,,,,,,,2.94 ,3.28,4,4,30.83 ,0.97,1,1,3197,361.5,6.99
Q13630,GDP-L-fucose synthase OS=Homo sapiens GN=TSTA3 PE=1 SV=1 - [FCL_HUMAN],37.69,1,7,7,32,1.147,2;14,4.9,1.177,2;14,6.0,1.139,2;14,8.2,87.08 ,10.28,2,2,15.97 ,10.28,4,4,31.78 ,31.78,6,13,264.95 ,29.60,5,13,321,35.9,6.60
Q13131,5'-AMP-activated protein kinase catalytic subunit alpha-1 OS=Homo sapiens GN=PRKAA1 PE=1 SV=4 - [AAPK1_HUMAN],37.03,1,12,16,64,1.147,2;19,1.7,1.248,-;19,,1.393,2;19,13.7,190.15 ,12.34,4,5,21.48 ,12.34,5,6,79.78 ,37.03,18,28,477.52 ,35.96,16,25,559,64.0,8.12
Q9BYG5,Partitioning defective 6 homolog beta OS=Homo sapiens GN=PARD6B PE=1 SV=1 - [PAR6B_HUMAN],47.31,1,10,11,63,1.147,3;23,0.8,1.183,3;23,8.6,1.082,3;23,0.0,182.31 ,11.83,3,3,24.59 ,11.83,5,5,73.90 ,47.31,14,32,533.28 ,39.25,11,23,372,41.2,5.58
O94762,ATP-dependent DNA helicase Q5 OS=Homo sapiens GN=RECQL5 PE=1 SV=2 - [RECQ5_HUMAN],22.40,1,16,16,37,1.147,-;17,,1.049,-;17,,1.070,-;17,,,,,,,,,,36.95 ,18.77,15,17,134.66 ,22.30,15,20,991,108.8,8.56
Q96BR1,Serine/threonine-protein kinase Sgk3 OS=Homo sapiens GN=SGK3 PE=1 SV=1 - [SGK3_HUMAN],17.14,1,5,5,10,1.146,-;5,,0.995,-;5,,1.026,-;5,,,,,,,,,,16.51 ,17.14,5,5,62.74 ,17.14,5,5,496,57.1,6.93
O14770,Homeobox protein Meis2 OS=Homo sapiens GN=MEIS2 PE=1 SV=2 - [MEIS2_HUMAN],2.10,1,1,1,1,1.146,-;1,,0.976,-;1,,0.880,-;1,,,,,,,,,,2.58 ,2.10,1,1,,,,,477,51.8,6.40
Q6PJI9,WD repeat-containing protein 59 OS=Homo sapiens GN=WDR59 PE=1 SV=2 - [WDR59_HUMAN],4.00,1,2,2,4,1.146,-;2,,0.960,-;2,,1.055,-;2,,,,,,,,,,7.45 ,4.00,3,3,0.00 ,1.54,1,1,974,109.7,7.91
Q15532,Protein SSXT OS=Homo sapiens GN=SS18 PE=1 SV=3 - [SSXT_HUMAN],7.18,1,2,2,21,1.146,3;6,0.4,1.249,3;6,7.8,1.223,3;6,15.3,112.30 ,7.18,2,3,24.14 ,7.18,4,6,20.51 ,7.18,2,6,47.61 ,7.18,2,6,418,45.9,6.46
Q12846,Syntaxin-4 OS=Homo sapiens GN=STX4 PE=1 SV=2 - [STX4_HUMAN],49.49,1,10,10,54,1.146,3;16,1.6,1.205,3;15,6.6,1.245,3;16,11.8,107.95 ,20.20,7,9,31.06 ,20.20,7,9,40.59 ,49.49,11,20,296.35 ,49.49,11,16,297,34.2,6.28
Q86SJ2,Amphoterin-induced protein 2 OS=Homo sapiens GN=AMIGO2 PE=1 SV=1 - [AMGO2_HUMAN],5.56,1,2,2,3,1.146,-;2,,1.014,-;2,,1.066,-;2,,,,,,,,,,6.62 ,5.56,2,2,44.40 ,3.07,1,1,522,57.9,8.40
Q9NV70,Exocyst complex component 1 OS=Homo sapiens GN=EXOC1 PE=1 SV=4 - [EXOC1_HUMAN],42.73,1,28,28,105,1.146,5;46,5.7,1.292,5;46,5.6,1.171,5;46,1.8,191.28 ,4.70,5,6,29.30 ,4.70,6,7,147.22 ,41.72,29,49,778.79 ,36.58,25,43,894,101.9,6.61
Q00587,Cdc42 effector protein 1 OS=Homo sapiens GN=CDC42EP1 PE=1 SV=1 - [BORG5_HUMAN],41.43,1,12,12,52,1.146,1;22,6.1,0.981,1;22,1.9,1.128,1;22,8.1,50.47 ,9.21,2,2,10.98 ,9.21,3,3,61.32 ,34.27,12,24,306.07 ,30.95,11,23,391,40.3,7.15
Q9NVE7,Pantothenate kinase 4 OS=Homo sapiens GN=PANK4 PE=1 SV=1 - [PANK4_HUMAN],30.01,2,18,19,59,1.146,4;25,13.0,1.307,4;25,1.0,1.151,4;25,20.9,115.52 ,7.50,5,7,13.94 ,6.73,3,4,69.65 ,29.24,17,24,391.65 ,27.81,18,24,773,85.9,6.28
Q8N5Z5,BTB/POZ domain-containing protein KCTD17 OS=Homo sapiens GN=KCTD17 PE=1 SV=3 - [KCD17_HUMAN],17.76,1,3,3,9,1.146,-;4,,0.978,-;4,,1.190,-;4,,55.33 ,8.10,1,1,4.86 ,8.10,1,1,5.75 ,17.76,3,4,83.59 ,11.21,2,3,321,35.6,4.86
Q7Z4G1,COMM domain-containing protein 6 OS=Homo sapiens GN=COMMD6 PE=1 SV=1 - [COMD6_HUMAN],55.29,1,4,4,14,1.146,1;6,1.9,1.388,1;6,28.6,1.181,1;6,4.5,33.74 ,12.94,1,1,5.65 ,12.94,2,2,16.68 ,55.29,5,5,113.05 ,55.29,4,6,85,9.6,6.00
Q15646,2'-5'-oligoadenylate synthase-like protein OS=Homo sapiens GN=OASL PE=1 SV=2 - [OASL_HUMAN],2.14,1,1,1,2,1.145,-;1,,1.542,-;1,,1.131,-;1,,,,,,,,,,0.00 ,2.14,1,1,24.28 ,2.14,1,1,514,59.2,7.87
Q5HYK7,SH3 domain-containing protein 19 OS=Homo sapiens GN=SH3D19 PE=1 SV=2 - [SH319_HUMAN],26.20,1,16,16,37,1.145,-;18,,1.186,-;18,,1.116,-;18,,20.46 ,4.30,1,1,4.18 ,4.30,1,1,48.06 ,25.32,14,17,183.49 ,26.20,15,18,790,86.5,8.32
Q9BRK5,45 kDa calcium-binding protein OS=Homo sapiens GN=SDF4 PE=1 SV=1 - [CAB45_HUMAN],57.46,1,15,16,139,1.145,7;41,0.5,1.061,7;39,4.4,1.086,7;42,12.2,288.68 ,35.08,16,20,71.23 ,37.29,15,18,121.42 ,47.24,17,51,356.74 ,47.24,16,50,362,41.8,4.86
Q6IQ32,ADNP homeobox protein 2 OS=Homo sapiens GN=ADNP2 PE=1 SV=1 - [ADNP2_HUMAN],1.95,1,2,2,3,1.145,-;1,,1.277,-;1,,1.053,-;1,,,,,,,,,,2.18 ,1.95,2,2,36.45 ,0.80,1,1,1131,122.8,9.16
Q15084,Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1 - [PDIA6_HUMAN],72.05,1,23,23,406,1.145,18;158,2.9,1.109,17;158,0.3,1.115,18;159,3.8,699.51 ,30.68,21,40,173.56 ,30.68,22,40,491.78 ,70.23,34,172,2346.81 ,57.27,28,154,440,48.1,5.08
P61086,Ubiquitin-conjugating enzyme E2 K OS=Homo sapiens GN=UBE2K PE=1 SV=3 - [UBE2K_HUMAN],75.50,1,13,14,51,1.144,3;18,13.3,1.239,3;18,10.0,1.037,3;18,4.4,76.70 ,25.00,7,7,23.09 ,22.00,7,7,38.81 ,70.50,12,19,310.21 ,67.00,11,18,200,22.4,5.44
Q9P0V9,Septin-10 OS=Homo sapiens GN=SEPT10 PE=1 SV=2 - [SEP10_HUMAN],54.85,1,16,18,121,1.144,4;34,4.8,1.361,4;34,13.6,1.201,4;34,15.6,250.96 ,19.60,7,9,57.18 ,19.60,9,11,136.43 ,53.52,20,52,874.20 ,51.98,18,49,454,52.6,6.80
P19532,Transcription factor E3 OS=Homo sapiens GN=TFE3 PE=1 SV=4 - [TFE3_HUMAN],7.30,2,3,4,10,1.144,-;4,,1.278,-;4,,1.470,-;4,,,,,,,,,,12.21 ,7.30,4,5,108.59 ,7.30,4,5,575,61.5,5.58
Q9NWF9,E3 ubiquitin-protein ligase RNF216 OS=Homo sapiens GN=RNF216 PE=1 SV=3 - [RN216_HUMAN],11.20,3,7,8,20,1.144,-;8,,1.101,-;8,,1.054,-;8,,,,,,,,,,29.37 ,10.39,7,10,144.78 ,11.20,8,10,866,99.3,4.91
Q96A22,Uncharacterized protein C11orf52 OS=Homo sapiens GN=C11orf52 PE=2 SV=2 - [CK052_HUMAN],23.58,1,2,2,5,1.144,-;3,,1.009,-;3,,1.132,-;3,,,,,,,,,,7.53 ,23.58,2,3,33.29 ,23.58,2,2,123,13.9,9.41
P55854,Small ubiquitin-related modifier 3 OS=Homo sapiens GN=SUMO3 PE=1 SV=2 - [SUMO3_HUMAN],30.10,1,2,4,24,1.144,1;5,10.1,0.988,1;5,9.4,1.092,1;5,10.2,71.58 ,26.21,5,5,14.02 ,20.39,4,4,23.48 ,24.27,5,9,90.70 ,20.39,2,6,103,11.6,5.49
Q95460,Major histocompatibility complex class I-related gene protein OS=Homo sapiens GN=MR1 PE=1 SV=1 - [HMR1_HUMAN],7.92,1,2,2,3,1.144,-;2,,0.638,-;2,,0.657,-;2,,,,,,,,,,6.70 ,7.92,2,2,46.91 ,4.40,1,1,341,39.3,6.30
Q86X10,Ral GTPase-activating protein subunit beta OS=Homo sapiens GN=RALGAPB PE=1 SV=1 - [RLGPB_HUMAN],18.01,1,17,17,33,1.144,-;16,,1.027,-;16,,1.098,-;16,,,,,,,,,,48.83 ,17.07,18,19,169.53 ,14.86,14,14,1494,166.7,6.79
Q86YQ8,Copine-8 OS=Homo sapiens GN=CPNE8 PE=1 SV=2 - [CPNE8_HUMAN],27.84,5,10,11,22,1.144,-;10,,1.095,-;10,,1.141,-;10,,,,,,,,,,33.66 ,25.18,10,12,204.24 ,21.28,9,10,564,63.1,5.96
Q6NTE8,UPF0544 protein C5orf45 OS=Homo sapiens GN=C5orf45 PE=2 SV=2 - [CE045_HUMAN],13.41,1,3,3,8,1.144,-;3,,0.951,-;3,,0.968,-;3,,,,,,,,,,10.98 ,13.41,3,4,59.01 ,13.41,3,4,343,37.7,8.66
P0CJ79,Zinc finger protein 888 OS=Homo sapiens GN=ZNF888 PE=3 SV=1 - [ZN888_HUMAN],31.80,39,2,8,25,1.144,-;2,,0.881,-;2,,0.857,-;2,,47.46 ,7.60,3,4,9.26 ,1.60,2,3,20.58 ,25.80,9,14,77.32 ,10.60,4,4,500,58.7,9.09
Q13569,G/T mismatch-specific thymine DNA glycosylase OS=Homo sapiens GN=TDG PE=1 SV=2 - [TDG_HUMAN],14.88,1,4,4,6,1.144,-;3,,1.123,-;3,,1.087,-;3,,,,,,,,,,8.58 ,13.17,3,3,30.85 ,12.44,3,3,410,46.0,6.80
Q9Y5R8,Trafficking protein particle complex subunit 1 OS=Homo sapiens GN=TRAPPC1 PE=1 SV=1 - [TPPC1_HUMAN],8.28,1,1,1,2,1.144,-;1,,1.287,-;1,,1.162,-;1,,,,,,,,,,3.08 ,8.28,1,1,0.00 ,8.28,1,1,145,16.8,9.16
Q13200,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3 - [PSMD2_HUMAN],64.76,1,44,44,428,1.144,19;150,10.3,1.237,18;151,5.1,1.191,19;150,4.6,849.48 ,31.94,32,54,208.22 ,31.28,32,55,467.23 ,60.46,54,166,2379.19 ,59.69,49,153,908,100.1,5.20
Q03060,cAMP-responsive element modulator OS=Homo sapiens GN=CREM PE=1 SV=5 - [CREM_HUMAN],11.08,1,2,2,7,1.144,-;2,,0.973,-;2,,1.011,-;2,,,,,,,,,,5.56 ,11.08,2,3,75.00 ,11.08,2,4,361,38.9,6.65
Q86UL8,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 OS=Homo sapiens GN=MAGI2 PE=1 SV=3 - [MAGI2_HUMAN]",1.44,1,2,3,8,1.143,1;1,11.7,1.177,1;1,17.2,1.261,1;1,5.9,0.00 ,0.89,2,2,2.70 ,0.48,1,1,4.30 ,0.55,1,2,50.25 ,1.03,2,3,1455,158.7,6.35
Q15018,BRISC complex subunit Abro1 OS=Homo sapiens GN=FAM175B PE=1 SV=2 - [F175B_HUMAN],42.65,1,11,11,39,1.143,-;17,,1.131,-;17,,1.186,-;17,,,,,,,,,,43.34 ,42.65,11,19,365.14 ,42.65,11,20,415,46.9,6.21
O15056,Synaptojanin-2 OS=Homo sapiens GN=SYNJ2 PE=1 SV=3 - [SYNJ2_HUMAN],21.06,1,21,21,55,1.143,1;24,3.9,1.517,1;24,27.0,1.044,1;24,25.8,103.55 ,3.41,2,2,12.06 ,3.41,3,3,68.50 ,19.18,21,26,316.25 ,16.71,18,24,1496,165.4,7.34
Q68DI1,Zinc finger protein 776 OS=Homo sapiens GN=ZNF776 PE=2 SV=2 - [ZN776_HUMAN],2.32,1,1,1,2,1.143,-;1,,0.855,-;1,,0.840,-;1,,,,,,,,,,3.19 ,2.32,1,1,39.72 ,2.32,1,1,518,59.6,8.32
Q9UMX1,Suppressor of fused homolog OS=Homo sapiens GN=SUFU PE=1 SV=2 - [SUFU_HUMAN],21.49,1,8,8,22,1.143,-;10,,1.082,-;10,,1.101,-;10,,,,,,,,,,27.10 ,21.49,8,12,152.35 ,21.49,8,10,484,53.9,5.33
Q9HAN9,Nicotinamide mononucleotide adenylyltransferase 1 OS=Homo sapiens GN=NMNAT1 PE=1 SV=1 - [NMNA1_HUMAN],25.81,1,5,5,12,1.143,-;6,,1.135,-;6,,1.013,-;6,,,,,,,,,,20.13 ,25.81,6,7,118.14 ,21.51,4,5,279,31.9,8.87
